| epoch   5 |  6200/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.67 | ppl   288.86
| epoch   5 |  6400/ 9945 batches | lr 0.10 | ms/batch 18.09 | loss  5.72 | ppl   305.61
| epoch   5 |  6600/ 9945 batches | lr 0.10 | ms/batch 17.47 | loss  5.70 | ppl   297.80
| epoch   5 |  6800/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  5.71 | ppl   301.42
| epoch   5 |  7000/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  5.80 | ppl   328.72
| epoch   5 |  7200/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  5.53 | ppl   251.35
| epoch   5 |  7400/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  5.68 | ppl   293.90
| epoch   5 |  7600/ 9945 batches | lr 0.10 | ms/batch 17.26 | loss  5.69 | ppl   297.04
| epoch   5 |  7800/ 9945 batches | lr 0.10 | ms/batch 17.22 | loss  5.69 | ppl   297.00
| epoch   5 |  8000/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  5.68 | ppl   294.06
| epoch   5 |  8200/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  5.72 | ppl   305.74
| epoch   5 |  8400/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  5.69 | ppl   295.99
| epoch   5 |  8600/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  5.66 | ppl   286.95
| epoch   5 |  8800/ 9945 batches | lr 0.10 | ms/batch 17.25 | loss  5.60 | ppl   271.26
| epoch   5 |  9000/ 9945 batches | lr 0.10 | ms/batch 17.26 | loss  5.61 | ppl   273.73
| epoch   5 |  9200/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  5.71 | ppl   303.17
| epoch   5 |  9400/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  5.65 | ppl   285.53
| epoch   5 |  9600/ 9945 batches | lr 0.10 | ms/batch 17.28 | loss  5.58 | ppl   264.24
| epoch   5 |  9800/ 9945 batches | lr 0.10 | ms/batch 18.38 | loss  5.73 | ppl   307.44
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 180.84s | valid loss  6.10 | valid ppl   447.30
-----------------------------------------------------------------------------------------
| epoch   6 |   200/ 9945 batches | lr 0.10 | ms/batch 17.78 | loss  5.68 | ppl   293.42
| epoch   6 |   400/ 9945 batches | lr 0.10 | ms/batch 17.35 | loss  5.62 | ppl   277.03
